sample,group,position,variant,split,relative_path
V12_O_I$3D,12,O,I,train,Versuchsreihe2_B91$prj/V12_O_I$3D
V12_O_M$3D,12,O,M,train,Versuchsreihe2_B91$prj/V12_O_M$3D
V12_U_A$3D,12,U,A,train,Versuchsreihe2_B91$prj/V12_U_A$3D
V12_U_I$3D,12,U,I,train,Versuchsreihe2_B91$prj/V12_U_I$3D
V12_U_M$3D,12,U,M,train,Versuchsreihe2_B91$prj/V12_U_M$3D
V13_O_A$3D,13,O,A,train,Versuchsreihe2_B91$prj/V13_O_A$3D
V13_O_I$3D,13,O,I,train,Versuchsreihe2_B91$prj/V13_O_I$3D
V13_O_M$3D,13,O,M,train,Versuchsreihe2_B91$prj/V13_O_M$3D
V13_U_A$3D,13,U,A,train,Versuchsreihe2_B91$prj/V13_U_A$3D
V13_U_I$3D,13,U,I,train,Versuchsreihe2_B91$prj/V13_U_I$3D
V13_U_M$3D,13,U,M,train,Versuchsreihe2_B91$prj/V13_U_M$3D
V14_O_A$3D,14,O,A,train,Versuchsreihe2_B91$prj/V14_O_A$3D
V14_O_I$3D,14,O,I,train,Versuchsreihe2_B91$prj/V14_O_I$3D
V14_O_M$3D,14,O,M,train,Versuchsreihe2_B91$prj/V14_O_M$3D
V14_U_A$3D,14,U,A,train,Versuchsreihe2_B91$prj/V14_U_A$3D
V14_U_I$3D,14,U,I,train,Versuchsreihe2_B91$prj/V14_U_I$3D
V14_U_M$3D,14,U,M,train,Versuchsreihe2_B91$prj/V14_U_M$3D
V15_O_A$3D,15,O,A,train,Versuchsreihe2_B91$prj/V15_O_A$3D
V15_O_I$3D,15,O,I,train,Versuchsreihe2_B91$prj/V15_O_I$3D
V15_O_M$3D,15,O,M,train,Versuchsreihe2_B91$prj/V15_O_M$3D
V15_U_A$3D,15,U,A,train,Versuchsreihe2_B91$prj/V15_U_A$3D
V15_U_I$3D,15,U,I,train,Versuchsreihe2_B91$prj/V15_U_I$3D
V15_U_M$3D,15,U,M,train,Versuchsreihe2_B91$prj/V15_U_M$3D
V16_O_A$3D,16,O,A,train,Versuchsreihe2_B91$prj/V16_O_A$3D
V16_O_I$3D,16,O,I,train,Versuchsreihe2_B91$prj/V16_O_I$3D
V16_O_M$3D,16,O,M,train,Versuchsreihe2_B91$prj/V16_O_M$3D
V16_U_A$3D,16,U,A,train,Versuchsreihe2_B91$prj/V16_U_A$3D
V16_U_I$3D,16,U,I,train,Versuchsreihe2_B91$prj/V16_U_I$3D
V16_U_M$3D,16,U,M,train,Versuchsreihe2_B91$prj/V16_U_M$3D
V17_O_A$3D,17,O,A,train,Versuchsreihe2_B91$prj/V17_O_A$3D
V17_O_I$3D,17,O,I,train,Versuchsreihe2_B91$prj/V17_O_I$3D
V17_O_M$3D,17,O,M,train,Versuchsreihe2_B91$prj/V17_O_M$3D
V17_U_A$3D,17,U,A,train,Versuchsreihe2_B91$prj/V17_U_A$3D
V17_U_I$3D,17,U,I,train,Versuchsreihe2_B91$prj/V17_U_I$3D
V17_U_M$3D,17,U,M,train,Versuchsreihe2_B91$prj/V17_U_M$3D
V18_O_A$3D,18,O,A,train,Versuchsreihe2_B91$prj/V18_O_A$3D
V18_O_I$3D,18,O,I,train,Versuchsreihe2_B91$prj/V18_O_I$3D
V18_O_M$3D,18,O,M,train,Versuchsreihe2_B91$prj/V18_O_M$3D
V18_U_A$3D,18,U,A,train,Versuchsreihe2_B91$prj/V18_U_A$3D
V18_U_I$3D,18,U,I,train,Versuchsreihe2_B91$prj/V18_U_I$3D
V18_U_M$3D,18,U,M,train,Versuchsreihe2_B91$prj/V18_U_M$3D
V19_O_A$3D,19,O,A,train,Versuchsreihe2_B91$prj/V19_O_A$3D
V19_O_I$3D,19,O,I,train,Versuchsreihe2_B91$prj/V19_O_I$3D
V19_O_M$3D,19,O,M,train,Versuchsreihe2_B91$prj/V19_O_M$3D
V19_U_A$3D,19,U,A,train,Versuchsreihe2_B91$prj/V19_U_A$3D
V19_U_I$3D,19,U,I,train,Versuchsreihe2_B91$prj/V19_U_I$3D
V19_U_M$3D,19,U,M,train,Versuchsreihe2_B91$prj/V19_U_M$3D
V20_O_A$3D,20,O,A,train,Versuchsreihe2_B91$prj/V20_O_A$3D
V20_O_I$3D,20,O,I,train,Versuchsreihe2_B91$prj/V20_O_I$3D
V20_O_M$3D,20,O,M,train,Versuchsreihe2_B91$prj/V20_O_M$3D
V20_U_A$3D,20,U,A,train,Versuchsreihe2_B91$prj/V20_U_A$3D
V20_U_I$3D,20,U,I,train,Versuchsreihe2_B91$prj/V20_U_I$3D
V20_U_M$3D,20,U,M,train,Versuchsreihe2_B91$prj/V20_U_M$3D
V21_O_A$3D,21,O,A,val,Versuchsreihe2_B91$prj/V21_O_A$3D
V21_O_I$3D,21,O,I,val,Versuchsreihe2_B91$prj/V21_O_I$3D
V21_O_M$3D,21,O,M,val,Versuchsreihe2_B91$prj/V21_O_M$3D
V21_U_A$3D,21,U,A,val,Versuchsreihe2_B91$prj/V21_U_A$3D
V21_U_I$3D,21,U,I,val,Versuchsreihe2_B91$prj/V21_U_I$3D
V21_U_M$3D,21,U,M,val,Versuchsreihe2_B91$prj/V21_U_M$3D
V22_O_A$3D,22,O,A,val,Versuchsreihe2_B91$prj/V22_O_A$3D
V22_O_I$3D,22,O,I,val,Versuchsreihe2_B91$prj/V22_O_I$3D
V22_O_M$3D,22,O,M,val,Versuchsreihe2_B91$prj/V22_O_M$3D
V22_U_A$3D,22,U,A,val,Versuchsreihe2_B91$prj/V22_U_A$3D
V22_U_I$3D,22,U,I,val,Versuchsreihe2_B91$prj/V22_U_I$3D
V22_U_M$3D,22,U,M,val,Versuchsreihe2_B91$prj/V22_U_M$3D
V23_O_A$3D,23,O,A,val,Versuchsreihe2_B91$prj/V23_O_A$3D
V23_O_I$3D,23,O,I,val,Versuchsreihe2_B91$prj/V23_O_I$3D
V23_O_M$3D,23,O,M,val,Versuchsreihe2_B91$prj/V23_O_M$3D
V23_U_A$3D,23,U,A,val,Versuchsreihe2_B91$prj/V23_U_A$3D
V23_U_I$3D,23,U,I,val,Versuchsreihe2_B91$prj/V23_U_I$3D
V23_U_M$3D,23,U,M,val,Versuchsreihe2_B91$prj/V23_U_M$3D
V24_O_A$3D,24,O,A,val,Versuchsreihe2_B91$prj/V24_O_A$3D
V24_O_I$3D,24,O,I,val,Versuchsreihe2_B91$prj/V24_O_I$3D
V24_O_M$3D,24,O,M,val,Versuchsreihe2_B91$prj/V24_O_M$3D
V24_U_A$3D,24,U,A,val,Versuchsreihe2_B91$prj/V24_U_A$3D
V24_U_I$3D,24,U,I,val,Versuchsreihe2_B91$prj/V24_U_I$3D
V24_U_M$3D,24,U,M,val,Versuchsreihe2_B91$prj/V24_U_M$3D
V25_O_A$3D,25,O,A,test,Versuchsreihe2_B91$prj/V25_O_A$3D
V25_O_I$3D,25,O,I,test,Versuchsreihe2_B91$prj/V25_O_I$3D
V25_O_M$3D,25,O,M,test,Versuchsreihe2_B91$prj/V25_O_M$3D
V25_U_A$3D,25,U,A,test,Versuchsreihe2_B91$prj/V25_U_A$3D
V25_U_I$3D,25,U,I,test,Versuchsreihe2_B91$prj/V25_U_I$3D
V25_U_M$3D,25,U,M,test,Versuchsreihe2_B91$prj/V25_U_M$3D
V26_O_A$3D,26,O,A,test,Versuchsreihe2_B91$prj/V26_O_A$3D
V26_O_I$3D,26,O,I,test,Versuchsreihe2_B91$prj/V26_O_I$3D
V26_O_M$3D,26,O,M,test,Versuchsreihe2_B91$prj/V26_O_M$3D
V26_U_A$3D,26,U,A,test,Versuchsreihe2_B91$prj/V26_U_A$3D
V26_U_I$3D,26,U,I,test,Versuchsreihe2_B91$prj/V26_U_I$3D
V26_U_M$3D,26,U,M,test,Versuchsreihe2_B91$prj/V26_U_M$3D
V27_O_A$3D,27,O,A,test,Versuchsreihe2_B91$prj/V27_O_A$3D
V27_O_I$3D,27,O,I,test,Versuchsreihe2_B91$prj/V27_O_I$3D
V27_O_M$3D,27,O,M,test,Versuchsreihe2_B91$prj/V27_O_M$3D
V27_U_A$3D,27,U,A,test,Versuchsreihe2_B91$prj/V27_U_A$3D
V27_U_I$3D,27,U,I,test,Versuchsreihe2_B91$prj/V27_U_I$3D
V27_U_M$3D,27,U,M,test,Versuchsreihe2_B91$prj/V27_U_M$3D
V28_O_A$3D,28,O,A,test,Versuchsreihe2_B91$prj/V28_O_A$3D
V28_O_I$3D,28,O,I,test,Versuchsreihe2_B91$prj/V28_O_I$3D
V28_O_M$3D,28,O,M,test,Versuchsreihe2_B91$prj/V28_O_M$3D
V28_U_A$3D,28,U,A,test,Versuchsreihe2_B91$prj/V28_U_A$3D
V28_U_I$3D,28,U,I,test,Versuchsreihe2_B91$prj/V28_U_I$3D
V28_U_M$3D,28,U,M,test,Versuchsreihe2_B91$prj/V28_U_M$3D
V29_O_A$3D,29,O,A,test,Versuchsreihe2_B91$prj/V29_O_A$3D
V29_O_I$3D,29,O,I,test,Versuchsreihe2_B91$prj/V29_O_I$3D
V29_O_M$3D,29,O,M,test,Versuchsreihe2_B91$prj/V29_O_M$3D
V29_U_A$3D,29,U,A,test,Versuchsreihe2_B91$prj/V29_U_A$3D
V29_U_I$3D,29,U,I,test,Versuchsreihe2_B91$prj/V29_U_I$3D
V29_U_M$3D,29,U,M,test,Versuchsreihe2_B91$prj/V29_U_M$3D
